country,player,jersey,position,age,club,total_goals,penalties,booking,captain
Albania,"Amir Abrashi",22,Midfielders,26,Freiburg,0,0,1,-
Albania,"Migjen Basha",8,Midfielders,29,Como,0,0,1,-
Albania,"Lorik Cana",5,Midfielders,32,Nantes,0,0,2,Captain
Albania,"Ergys Kace",20,Midfielders,22,PAOK,0,0,1,-
Albania,"Burim Kukeli",13,Midfielders,32,Zurich,0,0,2,-
Albania,"Ermir Lenjani",3,Midfielders,26,Nantes,0,0,0,-
Albania,"Ledian Memushaj",9,Midfielders,29,Pescara,0,0,1,-
Albania,"Odise Roshi",21,Midfielders,25,Rijeka,0,0,0,-
Albania,"Taulant Xhaka",14,Midfielders,25,Basel,0,0,0,-
Albania,"Etrit Berisha",1,Goalkeepers,27,Lazio,0,0,0,-
Albania,"Alban Hoxha",23,Goalkeepers,28,Partizani,0,0,0,-
Albania,"Orges Shehi",12,Goalkeepers,38,Skenderbeu,0,0,0,-
Albania,"Bekim Balaj",19,Defenders,25,Rijeka,0,0,0,-
Albania,"Sokol Cikalleshi",16,Defenders,25,"Istanbul Basaksehir",0,0,0,-
Albania,"Shkelzen Gashi",11,Defenders,27,Colorado,0,0,0,-
Albania,"Armando Sadiku",10,Defenders,25,Vaduz,1,0,0,-
Albania,"Ansi Agolli",7,Defenders,33,Qarabag,0,0,0,Captain
Albania,"Arlind Ajeti",18,Defenders,22,Frosinone,0,0,0,-
Albania,"Naser Aliji",17,Defenders,22,Basel,0,0,0,-
Albania,"Elseid Hysaj",4,Defenders,22,Napoli,0,0,1,-
Albania,"Andi Lila",2,Defenders,30,Giannina,0,0,0,-
Albania,"Mergim Mavraj",15,Defenders,30,Koln,0,0,1,-
Albania,"Frederic Veseli",6,Defenders,23,Lugano,0,0,0,-
Austria,"David Alaba",8,Midfielders,23,Bayern,0,0,0,-
Austria,"Julian Baumgartlinger",14,Midfielders,28,Mainz,0,0,0,-
Austria,"Gyorgy Garics",2,Midfielders,32,Darmstadt,0,0,0,-
Austria,"Martin Harnik",11,Midfielders,29,Stuttgart,0,0,1,-
Austria,"Stefan Ilsanker",6,Midfielders,27,Leipzig,0,0,0,-
Austria,"Jakob Jantscher",22,Midfielders,27,Luzern,0,0,0,-
Austria,"Zlatko Junuzovic",10,Midfielders,28,Bremen,0,0,0,-
Austria,"Marcel Sabitzer",20,Midfielders,22,Leipzig,0,0,0,-
Austria,"Alessandro Schopf",18,Midfielders,22,Schalke,1,0,1,-
Austria,"Robert Almer",1,Goalkeepers,32,"Austria Wien",0,0,0,-
Austria,"Heinz Lindner",12,Goalkeepers,25,Frankfurt,0,0,0,-
Austria,"Ramazan Ozcan",23,Goalkeepers,31,Ingolstadt,0,0,0,-
Austria,"Marko Arnautovic",7,Defenders,27,Stoke,0,0,0,-
Austria,"Lukas Hinterseer",19,Defenders,25,Ingolstadt,0,0,0,-
Austria,"Marc Janko",21,Defenders,32,Basel,0,0,1,-
Austria,"Rubin Okotie",9,Defenders,29,"1860 Munchen",0,0,0,-
Austria,"Aleksandar Dragovic",3,Defenders,25,"Dynamo Kyiv",0,0,2,-
Austria,"Christian Fuchs",5,Defenders,30,Leicester,0,0,1,Captain
Austria,"Martin Hinteregger",4,Defenders,23,Monchengladbach,0,0,1,-
Austria,"Florian Klein",17,Defenders,29,Stuttgart,0,0,0,-
Austria,"Sebastian Prodl",15,Defenders,28,Watford,0,0,0,-
Austria,"Markus Suttner",13,Defenders,29,Ingolstadt,0,0,0,-
Austria,"Kevin Wimmer",16,Defenders,23,Tottenham,0,0,0,-
Belgium,"Yannick Carrasco",11,Midfielders,22,Atletico,1,0,0,-
Belgium,"Kevin De Bruyne",7,Midfielders,24,"Man. City",0,0,0,-
Belgium,"Mousa Dembele",19,Midfielders,28,Tottenham,0,0,0,-
Belgium,"Marouane Fellaini",8,Midfielders,28,"Man. United",0,0,2,-
Belgium,"Eden Hazard",10,Midfielders,25,Chelsea,1,0,0,Captain
Belgium,"Radja Nainggolan",4,Midfielders,28,Roma,2,0,0,-
Belgium,"Axel Witsel",6,Midfielders,27,Zenit,1,0,1,-
Belgium,"Thibaut Courtois",1,Goalkeepers,24,Chelsea,0,0,0,-
Belgium,"Jean-Francois Gillet",13,Goalkeepers,37,Mechelen,0,0,0,-
Belgium,"Simon Mignolet",12,Goalkeepers,27,Liverpool,0,0,0,-
